id,followers_count,following_count,statuses_count,verified,label
u1217628182611927040,7316,215,3098,0,0
u2664730894,123,1090,1823,0,0
u1266703520205549568,3,62,66,0,0
u1089159225148882949,350,577,237,0,0
u36741729,240,297,3713,0,1
u1365527332627247104,1,378,2,0,1
u1679822588,238254,293,1400,0,1
u1519144464,161,278,788,0,0
u15211869,10299,2166,57397,1,0
u1309034737756000256,217,233,27,0,0
u1341789703633178624,0,136,6,0,1
u848975226,51,154,637,0,0
u1109809482656149504,12471,393,766,0,0
u138814032,5994250,241,15538,1,0
u457554412,7982826,1302,14644,1,0
u17899123,1713,990,29699,0,0
u2465283662,45541,1206,9194,0,1
u1467973039883182090,1573,1688,146,0,0
u234059290,4694,4739,91381,0,0
u1142890104853106688,2913,587,3343,0,0
u779266494270173187,16,157,195,0,0
u1275028426672549888,0,164,0,0,1
u284870222,9490,2146,19122,0,0
u1280925874267787270,1,15,0,0,0
u2599121383,1265,112,105,0,0
u912974971370115072,1503,606,2307,1,0
u1322906536029626368,44,1541,15,0,0
u83389771,33173,414,5132,0,0
u129211757,396,365,3316,0,0
u765845,99725,787,78512,1,0
u804075344,193652,135040,677622,0,0
u935031277,305,264,353,0,0
u14788268,6531,2059,21035,0,0
u3212706501,176,465,362,0,0
u2496941382,30239,27364,5448,0,0
u21920591,403,1477,6459,0,0
u213809534,1449,1458,196,0,0
u2196860159,1996,4913,11338,0,0
u1099603759259238400,8,289,0,0,0
u1213172638790512642,667,641,1190,0,0
u177622514,9,102,0,0,0
u10129132,54,772,94,0,0
u1478784043105894403,90,124,6,0,0
u864305332075364352,26,121,4883,0,1
u1293469199554285568,17,397,26,0,0
u1141322718559666176,34,68,39,0,0
u29458079,2439887,486,18727,1,0
u3304925983,752493,227,716,1,0
u229389391,111994,701,26677,0,0
u1475101296520830982,16,232,113,0,0
u1459787141928660998,54,1283,39,0,0
u871016931213619200,1576,1207,597,0,0
u771758047412748288,2461,269,82,0,0
u1482043516620525579,1,10,1,0,0
u933227158398386182,69,772,182,0,0
u49009937,917,951,32437,0,0
u1360303708777635844,55,693,9742,0,0
u1433818532215730176,619,173,60,0,0
u1484114013566943232,0,10,0,0,0
u196278935,22642,2490,12436,0,0
u1457083371146915842,1,13,0,0,0
u731478516181565440,2532,2306,11674,0,0
u383950602,2041,1007,1096,0,0
u13439042,507,1033,56246,0,0
u1009495181882773506,905,614,95,0,0
u73710441,572,967,4073,0,0
u542721191,21028,160,2329,1,0
u820367095120547841,2169,174,1113,0,0
u2337471864,10,343,7341,0,0
u1074322006445883392,5433,729,6087,0,0
u73125667,9456,1096,3051,0,0
u374208504,2094,223,547,0,0
u1484088723730055170,85,383,0,0,0
u1331028521649537025,5,115,5,0,0
u1031077915188846594,81,209,424,0,0
u1162025098230095872,41,744,270,0,0
u98804784,180,3329,2081,0,0
u224965117,13451,3007,185330,0,0
u35708687,1341,1979,1881,0,1
u1290233331683008512,1,60,31,0,0
u20813318,28611,2209,44133,0,0
u859714501331038208,17181,14882,34067,0,0
u1009804608540200960,169,307,275,0,0
u1483049550764187648,5,132,0,0,0
u280747022,927,223,2208,0,0
u1320503149816328192,33435,399,3553,0,0
u1438341642,24,428,36,0,1
u1360768923814264832,18,5001,0,0,1
u1192861100804575234,38418,34815,29534,0,0
u241877255,8089,5538,62068,0,0
u58880930,596,523,1060,0,0
u621310858,37,572,438,0,0
u86020763,93,98,189,0,0
u1353063402160099335,1355,2049,12317,0,0
u15918780,41646,1049,13204,0,0
u256644046,2307,1648,1096,0,0
u1116393937449697280,176,358,2498,0,0
u1076116243265060864,441,2179,80,0,0
u1395509316753534987,394,3176,3,0,0
u22396466,21295,590,64030,0,0
u1477208944833564672,18,122,42,0,0
u17393790,632371,5379,142924,1,0
u832271187019444224,44,40,226,0,0
u816040326112706566,7,5,234,0,0
u1344562598776250369,608,390,2847,0,1
u2939998182,1502,386,2922,1,0
u3082871337,244,219,355,0,0
u2502990367,110,748,1291,0,0
u1484148791322320899,1,31,0,0,0
u310784514,9,17,10,0,1
u162535413,17187,892,2556,1,0
u1004440668763230210,61,139,8,0,0
u368644797,1509,1333,1704,0,0
u2543789822,122636,70,16966,0,0
u13678962,107435,1799,52518,1,0
u4939401,342121,30,8723,1,0
u1369074723896786948,1306,172,226,0,0
u945957031323639808,208,458,1869,0,0
u2244134066,96298,29,36135,0,0
u18890724,718,388,6520,0,0
u118009649,1025,970,14098,0,0
u1863061536,347,771,102,0,0
u1268970866085441543,306,251,108,0,0
u242490547,4902,815,1597,0,0
u788533935886077952,5394,60,76,0,0
u806609267985891328,12,19,20,0,0
u757327643826094080,26605,524,20261,0,0
u9604032,6939114,349,347321,1,0
u887464432430850048,385,353,790,0,1
u16834046,1240967,1915,37209,1,0
u1231288602912489472,107652,11336,6285,0,0
u735984245806661632,69,334,981,0,0
u1536500138,749335,177,3379,1,0
u2577886615,274808,1132,24281,0,1
u1425141260256301059,114,87,52,0,0
